,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,2.6250973301203384,2.4757198142743198,3.1372482580366117,0.6462330470985549,1.4186336506186503,0.27042093206427786,0.292099185919466,11,-231.87636245427038,5
0,2.603029262412632,2.7411522460299143,3.171566298146597,0.6415163206475261,1.084599376190706,0.27074494700476304,0.33748713200353697,11,-294.45313879596694,6
0,3.808366222800525,4.028973473857614,8.471837323640946,0.7453003294987686,1.1584986216965758,0.3367566702187601,0.35232400550433596,12,-636.7749722150145,1
0,1.1645142725202657,2.533530247708604,7.112768725067533,0.5979904216408922,0.9041532654768152,0.3401761800592776,0.39079288617030833,12,-251.35160708002917,2
0,0.7832996368214045,1.5844673576733737,5.7696452159480165,0.5325732631780058,1.2011934555850967,0.3320903143227477,0.3462985372638272,12,-67.0377139938763,3
0,1.585047937467192,2.608746115733778,5.6746546969622225,0.607600237290268,1.841256284556708,0.34516171382877203,0.31164639068646266,12,-215.4606562874187,4
0,2.1565566128736635,2.6953835283887453,3.7015689467033783,0.563877666232071,1.0523921765949287,0.3349583060715893,0.3730355877377596,12,-301.9276332721746,5
0,2.440805387884697,2.3979652333643475,5.92978135668395,0.6027971352754031,4.151721292006635,0.35494755290025415,0.19260276660075298,12,-268.26475127227127,6
0,2.273525127861245,2.344230125975117,4.512691634894671,1.2708869587463543,1.100205537695155,0.20693644753368107,0.29246569265078187,13,-198.05151039808374,1
0,1.5482525965502354,1.2564097917161663,3.128778771937868,0.5786844786020859,1.0112926220134093,0.32150513372605594,0.3280421593165824,13,53.49473052260879,2
0,0.4688299359124994,0.8182937815958051,2.7704397128403624,0.5841749290673413,0.9815024026013637,0.2855073844436578,0.296359515807981,13,234.866633779075,3
0,1.5196657742880457,1.6163757272356356,3.624468228635784,1.3987569159791744,1.6124780177318065,0.17165373244222082,0.22337410967077537,13,129.3792825860361,4
0,1.4042224111777313,1.7271685274486248,3.6967247545225477,1.3038095159335548,1.4462732129008558,0.1766278154666897,0.27683595842996184,13,98.78466401705208,5
