,Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Self-excitation
228,1,2,10,0.20085567201031027,2.459946012866787,0.10903587657535646,8.70203982367186
229,1,3,10,0.6696403034588475,7.140142565223185,0.10579736731007533,9.907742314193577
230,1,4,10,0.5326781740625403,7.494439592742039,0.15147733187756857,10.636349020538058
231,1,5,10,0.6138131262873758,0.7376589470905204,0.38454320003361037,3.265329872919441
232,2,1,10,0.061651997057262875,0.7222611328313482,0.10433963855548622,5.733489328069968
233,2,2,10,0.335606120399847,2.655335838555986,0.10885109018345168,9.852435840100634
234,2,3,10,1.0594042671889687,7.988997865663111,0.14995415195948192,11.160383112108692
235,2,4,10,1.3458605386353673,7.052139589409942,0.19349424955984468,11.973299977003792
236,2,5,10,1.0422455292345383,0.8524756951342143,0.37930924678854716,4.446179466643885
237,3,1,10,0.0,1.1387965293534434,0.14412161566918275,15.0
238,3,2,10,0.6716760905172049,2.526725157432729,0.10480243345332141,9.239745795121381
239,3,3,10,1.7845655837075722,7.97357644017994,0.12792984422088383,10.350340192720141
240,3,4,10,1.7748922933968763,1.316325537255881,0.29393796811455825,8.849023970248362
241,3,5,10,2.090804021660189,1.2977760165042462,0.31865469966981264,4.381385023233869
242,4,1,10,0.25766266721790476,0.8738755542685315,0.1007514640331022,7.5974333137175165
243,4,2,10,1.4488642911390628,0.6012837631025443,0.22580170047316855,5.22610399751675
244,4,3,10,2.8898787448068735,1.095465046010141,0.2917355086345099,8.506686748198902
245,4,4,10,2.9816581750080897,0.9548509910028375,0.3200270630865113,8.698760419936226
246,4,5,10,3.225640142000228,4.130848360591182,0.23980582032329356,7.81187389941236
247,5,1,10,0.5489672952380158,1.7516067702025921,0.10961187674015127,14.10942426184481
248,5,2,10,1.4756390650790043,0.7652954723623862,0.19322896787352029,6.7400632814636445
249,5,3,10,2.770107339213879,7.898637034306373,0.1796041171371225,13.346225297167186
250,5,4,10,3.793032382550121,7.870651532876527,0.22909088967078922,14.40384826422468
251,5,5,10,4.0591028026038405,3.112253506261717,0.3060171711773696,9.688905514843423
252,1,1,11,0.5858083827413965,2.596850220595541,0.10564312985459157,11.672108274669586
253,1,2,11,0.2997692105274876,5.777528043256678,0.12810694351641733,15.0
254,1,3,11,1.0338616779715504,1.9886647521616876,0.20083940105130926,15.0
255,1,4,11,1.1058060180839473,2.452829041023853,0.20163818686688917,15.0
256,1,5,11,0.6303810707327919,0.6282833521195768,0.28916000822243404,3.3383795963299012
257,2,1,11,0.7663477458229951,4.672372195857429,0.10002316935355937,15.0
258,2,2,11,1.375859878541237,7.496722786769786,0.1089794979098948,15.0
259,2,3,11,1.0463748220021045,2.543198790464999,0.18382900201453695,15.0
260,2,4,11,1.3635871113951619,0.8138832493654777,0.2619313419590188,15.0
261,2,5,11,1.482323068818046,0.8193648505691078,0.2674472271774006,7.128736106167541
262,3,1,11,0.9541361887853421,0.7539556019158269,0.18872968543586138,8.932324890175215
263,3,2,11,1.5225977594050528,7.65175288566423,0.10957217259499347,15.0
264,3,3,11,1.8492024093221755,1.1580906241146294,0.2440212918432223,15.0
265,3,4,11,2.3027048875786624,0.9818341839209146,0.26304735133272134,15.0
266,3,5,11,2.161823135443956,0.7024713461001393,0.2964736573466732,7.692508931209616
267,4,1,11,1.6273720787508075,4.797757460798941,0.10718652563411513,15.0
268,4,2,11,2.393125934824619,6.097441224420883,0.12514483638820173,15.0
269,4,3,11,3.5427199869170987,1.2856554881046658,0.23850199823226526,12.965266443971888
270,4,4,11,4.290617821406032,1.9549842252763687,0.24562803021229968,15.0
271,4,5,11,3.5172673693412464,1.578816099032541,0.2632518359815094,12.220291055526351
